floor_level,zone_id,created_at,ta,pmv,lux,spl,co2,hour
30,8,2019-05-15 10:10:00+00:00,22.52,0.1,133,46,496,10
30,8,2019-05-16 12:50:00+00:00,22.24,0.1,102,0,630,12
30,8,2019-05-16 12:55:00+00:00,22.39,0.1,107,47,635,12
30,8,2019-05-16 13:00:00+00:00,22.52,0.2,60,48,639,13
30,8,2019-05-16 13:05:00+00:00,22.65,0.2,65,47,646,13
30,8,2019-05-16 13:10:00+00:00,22.73,0.2,102,46,648,13
30,8,2019-05-16 13:15:00+00:00,22.84,0.2,86,46,644,13
30,8,2019-05-16 13:20:00+00:00,22.92,0.2,97,47,659,13
30,8,2019-05-16 13:25:00+00:00,22.97,0.2,97,51,661,13
30,8,2019-05-16 13:30:00+00:00,23.02,0.2,91,52,675,13
30,8,2019-05-16 13:35:00+00:00,23.09,0.2,97,49,679,13
30,8,2019-05-16 13:40:00+00:00,23.12,0.2,97,48,688,13
30,8,2019-05-16 13:45:00+00:00,23.17,0.2,97,46,676,13
30,8,2019-05-16 13:50:00+00:00,23.2,0.2,97,46,673,13
30,8,2019-05-16 13:55:00+00:00,23.25,0.3,97,46,669,13
30,8,2019-05-16 14:00:00+00:00,23.25,0.3,97,46,661,14
30,8,2019-05-16 14:05:00+00:00,23.28,0.3,97,47,666,14
30,8,2019-05-16 14:10:00+00:00,23.3,0.3,91,50,670,14
30,8,2019-05-16 14:15:00+00:00,23.33,0.3,91,50,685,14
30,8,2019-05-16 14:20:00+00:00,23.35,0.3,81,49,688,14
30,8,2019-05-16 14:20:00+00:00,23.35,0.3,81,49,688,14
30,8,2019-05-16 14:25:00+00:00,23.37,0.3,86,50,688,14
30,8,2019-05-16 14:30:00+00:00,23.34,0.3,81,50,693,14
30,8,2019-05-16 14:35:00+00:00,23.31,0.3,81,49,699,14
30,8,2019-05-16 14:40:00+00:00,23.37,0.3,81,48,712,14
30,8,2019-05-16 14:45:00+00:00,23.4,0.3,81,48,711,14
30,8,2019-05-16 14:50:00+00:00,23.39,0.3,81,48,719,14
30,8,2019-05-16 14:55:00+00:00,23.39,0.3,81,48,728,14
30,8,2019-05-16 15:00:00+00:00,23.36,0.3,81,49,747,15
30,8,2019-05-16 15:05:00+00:00,23.35,0.3,76,51,750,15
